# <db_root>,<prot?>,<nuc?>,<short_seqs?>,<db_menu_name>,<db_long_name>,<protein_url>,<nuc_url>
danio_rerio,yes,yes,no,danio rerio,Sequences from ENSEMBL for <I>danio rerio</I>.,ftp.ensembl.org/pub/current_fasta//danio_rerio/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//danio_rerio/dna/*.dna.toplevel.fa.gz
dasypus_novemcinctus,yes,yes,no,dasypus novemcinctus,Sequences from ENSEMBL for <I>dasypus novemcinctus</I>.,ftp.ensembl.org/pub/current_fasta//dasypus_novemcinctus/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//dasypus_novemcinctus/dna/*.dna.toplevel.fa.gz
dipodomys_ordii,yes,yes,no,dipodomys ordii,Sequences from ENSEMBL for <I>dipodomys ordii</I>.,ftp.ensembl.org/pub/current_fasta//dipodomys_ordii/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//dipodomys_ordii/dna/*.dna.toplevel.fa.gz
drosophila_melanogaster,yes,yes,no,drosophila melanogaster,Sequences from ENSEMBL for <I>drosophila melanogaster</I>.,ftp.ensembl.org/pub/current_fasta//drosophila_melanogaster/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//drosophila_melanogaster/dna/*.dna.toplevel.fa.gz
echinops_telfairi,yes,yes,no,echinops telfairi,Sequences from ENSEMBL for <I>echinops telfairi</I>.,ftp.ensembl.org/pub/current_fasta//echinops_telfairi/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//echinops_telfairi/dna/*.dna.toplevel.fa.gz
equus_caballus,yes,yes,no,equus caballus,Sequences from ENSEMBL for <I>equus caballus</I>.,ftp.ensembl.org/pub/current_fasta//equus_caballus/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//equus_caballus/dna/*.dna.toplevel.fa.gz
erinaceus_europaeus,yes,yes,no,erinaceus europaeus,Sequences from ENSEMBL for <I>erinaceus europaeus</I>.,ftp.ensembl.org/pub/current_fasta//erinaceus_europaeus/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//erinaceus_europaeus/dna/*.dna.toplevel.fa.gz
felis_catus,yes,yes,no,felis catus,Sequences from ENSEMBL for <I>felis catus</I>.,ftp.ensembl.org/pub/current_fasta//felis_catus/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//felis_catus/dna/*.dna.toplevel.fa.gz
gadus_morhua,yes,yes,no,gadus morhua,Sequences from ENSEMBL for <I>gadus morhua</I>.,ftp.ensembl.org/pub/current_fasta//gadus_morhua/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//gadus_morhua/dna/*.dna.toplevel.fa.gz
gallus_gallus,yes,yes,no,gallus gallus,Sequences from ENSEMBL for <I>gallus gallus</I>.,ftp.ensembl.org/pub/current_fasta//gallus_gallus/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//gallus_gallus/dna/*.dna.toplevel.fa.gz
gasterosteus_aculeatus,yes,yes,no,gasterosteus aculeatus,Sequences from ENSEMBL for <I>gasterosteus aculeatus</I>.,ftp.ensembl.org/pub/current_fasta//gasterosteus_aculeatus/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//gasterosteus_aculeatus/dna/*.dna.toplevel.fa.gz
gorilla_gorilla,yes,yes,no,gorilla gorilla,Sequences from ENSEMBL for <I>gorilla gorilla</I>.,ftp.ensembl.org/pub/current_fasta//gorilla_gorilla/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//gorilla_gorilla/dna/*.dna.toplevel.fa.gz
homo_sapiens,yes,yes,no,homo sapiens,Sequences from ENSEMBL for <I>homo sapiens</I>.,ftp.ensembl.org/pub/current_fasta//homo_sapiens/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//homo_sapiens/dna/*.dna.toplevel.fa.gz
ictidomys_tridecemlineatus,yes,yes,no,ictidomys tridecemlineatus,Sequences from ENSEMBL for <I>ictidomys tridecemlineatus</I>.,ftp.ensembl.org/pub/current_fasta//ictidomys_tridecemlineatus/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//ictidomys_tridecemlineatus/dna/*.dna.toplevel.fa.gz
latimeria_chalumnae,yes,yes,no,latimeria chalumnae,Sequences from ENSEMBL for <I>latimeria chalumnae</I>.,ftp.ensembl.org/pub/current_fasta//latimeria_chalumnae/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//latimeria_chalumnae/dna/*.dna.toplevel.fa.gz
loxodonta_africana,yes,yes,no,loxodonta africana,Sequences from ENSEMBL for <I>loxodonta africana</I>.,ftp.ensembl.org/pub/current_fasta//loxodonta_africana/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//loxodonta_africana/dna/*.dna.toplevel.fa.gz
macaca_mulatta,yes,yes,no,macaca mulatta,Sequences from ENSEMBL for <I>macaca mulatta</I>.,ftp.ensembl.org/pub/current_fasta//macaca_mulatta/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//macaca_mulatta/dna/*.dna.toplevel.fa.gz
macropus_eugenii,yes,yes,no,macropus eugenii,Sequences from ENSEMBL for <I>macropus eugenii</I>.,ftp.ensembl.org/pub/current_fasta//macropus_eugenii/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//macropus_eugenii/dna/*.dna.toplevel.fa.gz
meleagris_gallopavo,yes,yes,no,meleagris gallopavo,Sequences from ENSEMBL for <I>meleagris gallopavo</I>.,ftp.ensembl.org/pub/current_fasta//meleagris_gallopavo/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//meleagris_gallopavo/dna/*.dna.toplevel.fa.gz
microcebus_murinus,yes,yes,no,microcebus murinus,Sequences from ENSEMBL for <I>microcebus murinus</I>.,ftp.ensembl.org/pub/current_fasta//microcebus_murinus/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//microcebus_murinus/dna/*.dna.toplevel.fa.gz
monodelphis_domestica,yes,yes,no,monodelphis domestica,Sequences from ENSEMBL for <I>monodelphis domestica</I>.,ftp.ensembl.org/pub/current_fasta//monodelphis_domestica/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//monodelphis_domestica/dna/*.dna.toplevel.fa.gz
mus_musculus,yes,yes,no,mus musculus,Sequences from ENSEMBL for <I>mus musculus</I>.,ftp.ensembl.org/pub/current_fasta//mus_musculus/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//mus_musculus/dna/*.dna.toplevel.fa.gz
mustela_putorius_furo,yes,yes,no,mustela putorius furo,Sequences from ENSEMBL for <I>mustela putorius furo</I>.,ftp.ensembl.org/pub/current_fasta//mustela_putorius_furo/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//mustela_putorius_furo/dna/*.dna.toplevel.fa.gz
myotis_lucifugus,yes,yes,no,myotis lucifugus,Sequences from ENSEMBL for <I>myotis lucifugus</I>.,ftp.ensembl.org/pub/current_fasta//myotis_lucifugus/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//myotis_lucifugus/dna/*.dna.toplevel.fa.gz
nomascus_leucogenys,yes,yes,no,nomascus leucogenys,Sequences from ENSEMBL for <I>nomascus leucogenys</I>.,ftp.ensembl.org/pub/current_fasta//nomascus_leucogenys/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//nomascus_leucogenys/dna/*.dna.toplevel.fa.gz
ochotona_princeps,yes,yes,no,ochotona princeps,Sequences from ENSEMBL for <I>ochotona princeps</I>.,ftp.ensembl.org/pub/current_fasta//ochotona_princeps/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//ochotona_princeps/dna/*.dna.toplevel.fa.gz
oreochromis_niloticus,yes,yes,no,oreochromis niloticus,Sequences from ENSEMBL for <I>oreochromis niloticus</I>.,ftp.ensembl.org/pub/current_fasta//oreochromis_niloticus/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//oreochromis_niloticus/dna/*.dna.toplevel.fa.gz
ornithorhynchus_anatinus,yes,yes,no,ornithorhynchus anatinus,Sequences from ENSEMBL for <I>ornithorhynchus anatinus</I>.,ftp.ensembl.org/pub/current_fasta//ornithorhynchus_anatinus/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//ornithorhynchus_anatinus/dna/*.dna.toplevel.fa.gz
oryctolagus_cuniculus,yes,yes,no,oryctolagus cuniculus,Sequences from ENSEMBL for <I>oryctolagus cuniculus</I>.,ftp.ensembl.org/pub/current_fasta//oryctolagus_cuniculus/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//oryctolagus_cuniculus/dna/*.dna.toplevel.fa.gz
oryzias_latipes,yes,yes,no,oryzias latipes,Sequences from ENSEMBL for <I>oryzias latipes</I>.,ftp.ensembl.org/pub/current_fasta//oryzias_latipes/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//oryzias_latipes/dna/*.dna.toplevel.fa.gz
otolemur_garnettii,yes,yes,no,otolemur garnettii,Sequences from ENSEMBL for <I>otolemur garnettii</I>.,ftp.ensembl.org/pub/current_fasta//otolemur_garnettii/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//otolemur_garnettii/dna/*.dna.toplevel.fa.gz
pan_troglodytes,yes,yes,no,pan troglodytes,Sequences from ENSEMBL for <I>pan troglodytes</I>.,ftp.ensembl.org/pub/current_fasta//pan_troglodytes/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//pan_troglodytes/dna/*.dna.toplevel.fa.gz
pelodiscus_sinensis,yes,yes,no,pelodiscus sinensis,Sequences from ENSEMBL for <I>pelodiscus sinensis</I>.,ftp.ensembl.org/pub/current_fasta//pelodiscus_sinensis/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//pelodiscus_sinensis/dna/*.dna.toplevel.fa.gz
petromyzon_marinus,yes,yes,no,petromyzon marinus,Sequences from ENSEMBL for <I>petromyzon marinus</I>.,ftp.ensembl.org/pub/current_fasta//petromyzon_marinus/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//petromyzon_marinus/dna/*.dna.toplevel.fa.gz
pongo_abelii,yes,yes,no,pongo abelii,Sequences from ENSEMBL for <I>pongo abelii</I>.,ftp.ensembl.org/pub/current_fasta//pongo_abelii/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//pongo_abelii/dna/*.dna.toplevel.fa.gz
procavia_capensis,yes,yes,no,procavia capensis,Sequences from ENSEMBL for <I>procavia capensis</I>.,ftp.ensembl.org/pub/current_fasta//procavia_capensis/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//procavia_capensis/dna/*.dna.toplevel.fa.gz
pteropus_vampyrus,yes,yes,no,pteropus vampyrus,Sequences from ENSEMBL for <I>pteropus vampyrus</I>.,ftp.ensembl.org/pub/current_fasta//pteropus_vampyrus/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//pteropus_vampyrus/dna/*.dna.toplevel.fa.gz
rattus_norvegicus,yes,yes,no,rattus norvegicus,Sequences from ENSEMBL for <I>rattus norvegicus</I>.,ftp.ensembl.org/pub/current_fasta//rattus_norvegicus/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//rattus_norvegicus/dna/*.dna.toplevel.fa.gz
saccharomyces_cerevisiae,yes,yes,no,saccharomyces cerevisiae,Sequences from ENSEMBL for <I>saccharomyces cerevisiae</I>.,ftp.ensembl.org/pub/current_fasta//saccharomyces_cerevisiae/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//saccharomyces_cerevisiae/dna/*.dna.toplevel.fa.gz
sarcophilus_harrisii,yes,yes,no,sarcophilus harrisii,Sequences from ENSEMBL for <I>sarcophilus harrisii</I>.,ftp.ensembl.org/pub/current_fasta//sarcophilus_harrisii/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//sarcophilus_harrisii/dna/*.dna.toplevel.fa.gz
sorex_araneus,yes,yes,no,sorex araneus,Sequences from ENSEMBL for <I>sorex araneus</I>.,ftp.ensembl.org/pub/current_fasta//sorex_araneus/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//sorex_araneus/dna/*.dna.toplevel.fa.gz
sus_scrofa,yes,yes,no,sus scrofa,Sequences from ENSEMBL for <I>sus scrofa</I>.,ftp.ensembl.org/pub/current_fasta//sus_scrofa/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//sus_scrofa/dna/*.dna.toplevel.fa.gz
taeniopygia_guttata,yes,yes,no,taeniopygia guttata,Sequences from ENSEMBL for <I>taeniopygia guttata</I>.,ftp.ensembl.org/pub/current_fasta//taeniopygia_guttata/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//taeniopygia_guttata/dna/*.dna.toplevel.fa.gz
takifugu_rubripes,yes,yes,no,takifugu rubripes,Sequences from ENSEMBL for <I>takifugu rubripes</I>.,ftp.ensembl.org/pub/current_fasta//takifugu_rubripes/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//takifugu_rubripes/dna/*.dna.toplevel.fa.gz
tarsius_syrichta,yes,yes,no,tarsius syrichta,Sequences from ENSEMBL for <I>tarsius syrichta</I>.,ftp.ensembl.org/pub/current_fasta//tarsius_syrichta/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//tarsius_syrichta/dna/*.dna.toplevel.fa.gz
tetraodon_nigroviridis,yes,yes,no,tetraodon nigroviridis,Sequences from ENSEMBL for <I>tetraodon nigroviridis</I>.,ftp.ensembl.org/pub/current_fasta//tetraodon_nigroviridis/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//tetraodon_nigroviridis/dna/*.dna.toplevel.fa.gz
tupaia_belangeri,yes,yes,no,tupaia belangeri,Sequences from ENSEMBL for <I>tupaia belangeri</I>.,ftp.ensembl.org/pub/current_fasta//tupaia_belangeri/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//tupaia_belangeri/dna/*.dna.toplevel.fa.gz
tursiops_truncatus,yes,yes,no,tursiops truncatus,Sequences from ENSEMBL for <I>tursiops truncatus</I>.,ftp.ensembl.org/pub/current_fasta//tursiops_truncatus/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//tursiops_truncatus/dna/*.dna.toplevel.fa.gz
vicugna_pacos,yes,yes,no,vicugna pacos,Sequences from ENSEMBL for <I>vicugna pacos</I>.,ftp.ensembl.org/pub/current_fasta//vicugna_pacos/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//vicugna_pacos/dna/*.dna.toplevel.fa.gz
xenopus_tropicalis,yes,yes,no,xenopus tropicalis,Sequences from ENSEMBL for <I>xenopus tropicalis</I>.,ftp.ensembl.org/pub/current_fasta//xenopus_tropicalis/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//xenopus_tropicalis/dna/*.dna.toplevel.fa.gz
xiphophorus_maculatus,yes,yes,no,xiphophorus maculatus,Sequences from ENSEMBL for <I>xiphophorus maculatus</I>.,ftp.ensembl.org/pub/current_fasta//xiphophorus_maculatus/pep/*.pep.all.fa.gz,ftp.ensembl.org/pub/current_fasta//xiphophorus_maculatus/dna/*.dna.toplevel.fa.gz
#<db_root>,<prot?>,<nuc?>,<short_seqs?>,<db_menu_name>,<db_long_name>,<protein_url>,<nuc_url>
,yes,no,yes,-----ENSEMBL  Ab Initio Predicted Proteins-----,,,,
ailuropoda_melanoleuca_abinitio,yes,no,yes,ailuropoda melanoleuca (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>ailuropoda melanoleuca</I>.,ftp.ensembl.org/pub/current_fasta//ailuropoda_melanoleuca/pep/*.pep.abinitio.fa.gz,
anolis_carolinensis_abinitio,yes,no,yes,anolis carolinensis (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>anolis carolinensis</I>.,ftp.ensembl.org/pub/current_fasta//anolis_carolinensis/pep/*.pep.abinitio.fa.gz,
bos_taurus_abinitio,yes,no,yes,bos taurus (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>bos taurus</I>.,ftp.ensembl.org/pub/current_fasta//bos_taurus/pep/*.pep.abinitio.fa.gz,
callithrix_jacchus_abinitio,yes,no,yes,callithrix jacchus (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>callithrix jacchus</I>.,ftp.ensembl.org/pub/current_fasta//callithrix_jacchus/pep/*.pep.abinitio.fa.gz,
canis_familiaris_abinitio,yes,no,yes,canis familiaris (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>canis familiaris</I>.,ftp.ensembl.org/pub/current_fasta//canis_familiaris/pep/*.pep.abinitio.fa.gz,
cavia_porcellus_abinitio,yes,no,yes,cavia porcellus (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>cavia porcellus</I>.,ftp.ensembl.org/pub/current_fasta//cavia_porcellus/pep/*.pep.abinitio.fa.gz,
choloepus_hoffmanni_abinitio,yes,no,yes,choloepus hoffmanni (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>choloepus hoffmanni</I>.,ftp.ensembl.org/pub/current_fasta//choloepus_hoffmanni/pep/*.pep.abinitio.fa.gz,
ciona_intestinalis_abinitio,yes,no,yes,ciona intestinalis (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>ciona intestinalis</I>.,ftp.ensembl.org/pub/current_fasta//ciona_intestinalis/pep/*.pep.abinitio.fa.gz,
ciona_savignyi_abinitio,yes,no,yes,ciona savignyi (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>ciona savignyi</I>.,ftp.ensembl.org/pub/current_fasta//ciona_savignyi/pep/*.pep.abinitio.fa.gz,
danio_rerio_abinitio,yes,no,yes,danio rerio (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>danio rerio</I>.,ftp.ensembl.org/pub/current_fasta//danio_rerio/pep/*.pep.abinitio.fa.gz,
dasypus_novemcinctus_abinitio,yes,no,yes,dasypus novemcinctus (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>dasypus novemcinctus</I>.,ftp.ensembl.org/pub/current_fasta//dasypus_novemcinctus/pep/*.pep.abinitio.fa.gz,
dipodomys_ordii_abinitio,yes,no,yes,dipodomys ordii (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>dipodomys ordii</I>.,ftp.ensembl.org/pub/current_fasta//dipodomys_ordii/pep/*.pep.abinitio.fa.gz,
drosophila_melanogaster_abinitio,yes,no,yes,drosophila melanogaster (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>drosophila melanogaster</I>.,ftp.ensembl.org/pub/current_fasta//drosophila_melanogaster/pep/*.pep.abinitio.fa.gz,
echinops_telfairi_abinitio,yes,no,yes,echinops telfairi (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>echinops telfairi</I>.,ftp.ensembl.org/pub/current_fasta//echinops_telfairi/pep/*.pep.abinitio.fa.gz,
equus_caballus_abinitio,yes,no,yes,equus caballus (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>equus caballus</I>.,ftp.ensembl.org/pub/current_fasta//equus_caballus/pep/*.pep.abinitio.fa.gz,
